Zipcode,admin_name1,Lat,Long,accuracy
125078,Haryana,29.5917,75.15,
125079,Haryana,29.65,75.4667,4
125081,Haryana,29.0167,75.9,
125082,Haryana,29.0167,75.9,
125083,Haryana,29.0167,75.9,4
125084,Haryana,29.0167,75.9,
125086,Haryana,29.0167,75.9,
125087,Haryana,29.0167,75.9,
125088,Haryana,29.0167,75.9,
125101,Haryana,29.7833,74.5333,4
125102,Haryana,29.45,74.65,4
125103,Haryana,29.4278,74.9722,
125104,Haryana,29.4278,74.9722,
125105,Haryana,29.05,75.7333,4
125106,Haryana,29.4278,74.9722,
125107,Haryana,29.4278,74.9722,
125108,Haryana,29.4278,74.9722,
125109,Haryana,29.4278,74.9722,
125112,Haryana,29.4167,76.6667,4
125201,Haryana,29.85,74.95,4
125202,Haryana,29.75,75.2,4
125203,Haryana,29.8,75.075,
126001,Haryana,29.8,75.8333,4
126006,Haryana,29.6583,75.85,
126007,Haryana,29.6583,75.85,
126009,Haryana,29.5167,75.8667,4
126010,Haryana,29.3833,75.9167,4
126011,Haryana,29.3833,75.9167,
126014,Haryana,29.3833,75.9167,
126015,Haryana,29.3833,75.9167,
126025,Haryana,29.5667,75.8722,
126027,Haryana,29.5667,75.8722,
126101,Haryana,29.1333,76.4167,4
126102,Haryana,29.1333,76.4167,
126104,Haryana,29.1333,76.4167,
126105,Haryana,29.1333,76.4167,
126106,Haryana,29.1333,76.4167,
126108,Haryana,29.1333,76.4167,
126109,Haryana,29.1333,76.4167,
126110,Haryana,29.6517,76.318,
126111,Haryana,29.8236,77.0886,4
126113,Haryana,29.6517,76.318,
126114,Haryana,29.6517,76.318,
126115,Haryana,29.4667,76.1667,4
126116,Haryana,29.6167,76.1167,
126117,Haryana,29.6517,76.318,
126118,Haryana,29.6517,76.318,
126119,Haryana,29.7,75.9,4
126120,Haryana,29.3833,76.55,
126121,Haryana,29.3833,76.55,4
126122,Haryana,29.3833,76.55,
126123,Haryana,29.3833,76.55,
126124,Haryana,29.3833,76.55,
126126,Haryana,29.3833,76.55,
126127,Haryana,29.3833,76.55,
126128,Haryana,29.3833,76.55,
126129,Haryana,29.3833,76.55,
126130,Haryana,29.5274,76.2272,
126131,Haryana,29.5274,76.2272,
126132,Haryana,29.5274,76.2272,
126133,Haryana,29.5274,76.2272,
126135,Haryana,29.5274,76.2272,
126139,Haryana,29.5274,76.2272,
126140,Haryana,29.7167,76.1333,4
126141,Haryana,29.3333,76.6167,4
126143,Haryana,29.5375,76.0083,
126145,Haryana,29.65,76.3667,4
126149,Haryana,29.45,74.9167,4
126150,Haryana,29.5274,76.2272,
126151,Haryana,29.5274,76.2272,
126152,Haryana,29.5274,76.2272,
126153,Haryana,29.5274,76.2272,
126154,Haryana,29.5274,76.2272,
131001,Haryana,29.2,76.8167,
131021,Haryana,29.2,76.8167,
131023,Haryana,29.6667,76.4333,4
131024,Haryana,29.0667,76.9,4
131025,Haryana,29.0333,76.85,4
131026,Haryana,29.2,76.8167,
131027,Haryana,29.0333,77.0833,4
131029,Haryana,29.2,76.8167,
131030,Haryana,29.2,76.8167,
131031,Haryana,29.2,76.8167,
131032,Haryana,29.2,76.8167,
131034,Haryana,29.2,76.8167,
131035,Haryana,29.2,76.8167,
131036,Haryana,29.2,76.8167,
131038,Haryana,29.2,76.8167,
131101,Haryana,29.1167,76.95,
131102,Haryana,29.1167,76.95,4
131103,Haryana,29.1167,76.95,
131104,Haryana,29.1167,76.95,
131105,Haryana,29.1167,76.95,
131107,Haryana,29.1167,76.95,
131108,Haryana,29.1167,76.95,
131109,Haryana,29.1167,76.95,
131110,Haryana,28.9514,76.5278,
131112,Haryana,28.9514,76.5278,
131113,Haryana,28.9514,76.5278,4
131114,Haryana,28.9514,76.5278,
131115,Haryana,28.9514,76.5278,
132001,Haryana,29.752,76.6199,
132002,Haryana,29.752,76.6199,
132021,Haryana,29.85,76.6667,4
132024,Haryana,29.8,76.5333,
132025,Haryana,29.8,76.5333,
132026,Haryana,29.75,76.55,4
132027,Haryana,29.8,76.3833,4
132034,Haryana,30.0489,76.3444,4
132035,Haryana,30.0386,76.3,4
132036,Haryana,29.65,76.8667,4
132037,Haryana,29.6056,76.9803,4
132038,Haryana,29.9167,76.85,4
132039,Haryana,29.8519,76.6683,
132040,Haryana,29.65,76.5667,
132041,Haryana,29.65,76.5667,
132042,Haryana,29.7833,76.55,4
132043,Haryana,29.7167,76.5167,4
132044,Haryana,29.5833,76.4833,4
132045,Haryana,29.65,76.5667,
132046,Haryana,29.5167,76.7167,4
132047,Haryana,29.65,76.5667,
132048,Haryana,29.65,76.5667,
132049,Haryana,29.65,76.5667,
132050,Haryana,29.5167,76.85,
132051,Haryana,29.5167,76.85,4
132052,Haryana,29.5167,76.85,
132058,Haryana,29.5167,76.85,
132101,Haryana,29.2333,77.0167,4
132102,Haryana,29.3111,76.9924,
132103,Haryana,29.3111,76.9924,
132104,Haryana,29.3111,76.9924,
132105,Haryana,29.3111,76.9924,
132106,Haryana,29.3111,76.9924,
132108,Haryana,29.3889,76.9681,4
132109,Haryana,29.3111,76.9924,
132110,Haryana,29.6854,76.9442,
132111,Haryana,29.5375,76.9717,4
132112,Haryana,29.6854,76.9442,
132113,Haryana,29.6854,76.9442,
132115,Haryana,29.6854,76.9442,
132116,Haryana,29.6854,76.9442,
132117,Haryana,29.8333,76.9167,4
132118,Haryana,29.6854,76.9442,
132120,Haryana,29.9669,76.7443,
132121,Haryana,29.9669,76.7443,
